cohort_not_russia,purchase_date,user_id
01.03.2020,01.06.2020,173180
01.03.2020,01.06.2020,173180
01.03.2020,01.06.2020,281474
01.03.2020,01.06.2020,281474
01.03.2020,01.06.2020,281474
01.03.2020,01.06.2020,281474
01.03.2020,01.06.2020,281474
01.03.2020,01.06.2020,410873
01.03.2020,01.06.2020,256414
01.03.2020,01.06.2020,431976
01.03.2020,01.06.2020,431976
01.03.2020,01.06.2020,431976
01.03.2020,01.06.2020,256414
01.03.2020,01.06.2020,410873
01.03.2020,01.06.2020,431976
01.03.2020,01.06.2020,410873
01.03.2020,01.06.2020,256414
01.03.2020,01.06.2020,256414
01.03.2020,01.06.2020,410873
01.03.2020,01.06.2020,256414
01.03.2020,01.06.2020,410873
01.03.2020,01.06.2020,281474
01.03.2020,01.06.2020,431976
01.03.2020,01.06.2020,410873
01.03.2020,01.06.2020,266214
01.03.2020,01.06.2020,266214
01.03.2020,01.06.2020,266214
01.03.2020,01.06.2020,266214
01.03.2020,01.06.2020,266214
01.03.2020,01.06.2020,266214
01.03.2020,01.06.2020,410873
01.03.2020,01.06.2020,414464
01.03.2020,01.06.2020,281474
01.03.2020,01.06.2020,410873
01.03.2020,01.06.2020,281474
01.03.2020,01.06.2020,281474
01.03.2020,01.06.2020,281474
01.03.2020,01.06.2020,414464
01.03.2020,01.06.2020,281474
01.03.2020,01.06.2020,281474
01.03.2020,01.06.2020,410873
01.03.2020,01.06.2020,281474
01.03.2020,01.06.2020,281474
01.03.2020,01.06.2020,281474
01.03.2020,01.06.2020,431976
01.03.2020,01.06.2020,410873
01.04.2020,01.04.2020,46634
01.04.2020,01.04.2020,199291
01.04.2020,01.04.2020,199291
01.04.2020,01.04.2020,199291
01.04.2020,01.04.2020,199291
01.04.2020,01.04.2020,199291
01.04.2020,01.04.2020,199291
01.04.2020,01.04.2020,200303
01.04.2020,01.04.2020,200303
01.04.2020,01.04.2020,200303
01.04.2020,01.04.2020,200303
01.04.2020,01.04.2020,200303
01.04.2020,01.04.2020,200303
01.04.2020,01.04.2020,200303
01.04.2020,01.04.2020,200303
01.04.2020,01.04.2020,200303
01.04.2020,01.04.2020,200303
01.04.2020,01.04.2020,200303
01.04.2020,01.04.2020,200303
01.04.2020,01.04.2020,200303
01.04.2020,01.04.2020,200303
01.04.2020,01.04.2020,200303
01.04.2020,01.04.2020,200303
01.04.2020,01.04.2020,200303
01.04.2020,01.04.2020,200303
01.04.2020,01.04.2020,200303
01.04.2020,01.04.2020,200303
01.04.2020,01.04.2020,714860
01.04.2020,01.04.2020,714860
01.04.2020,01.04.2020,714860
01.04.2020,01.04.2020,714860
01.04.2020,01.04.2020,714860
01.04.2020,01.04.2020,714860
01.04.2020,01.04.2020,714860
01.04.2020,01.04.2020,714860
01.04.2020,01.04.2020,713383
01.04.2020,01.04.2020,713383
01.04.2020,01.04.2020,713383
01.04.2020,01.04.2020,713383
